CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
,,SALGUERO-HUAYLLAS-PERCY,VI,[11-12],T,,VIRT 1 EO,1,
22,ME185BEO,MATEMATICAS PARA ECONOMISTAS I,,4,OEFE,ME901,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,TORRES-SALGUERO-MIRTHA,LU,[16-18],T,,VIRT 1 EO,2,
,,TORRES-SALGUERO-MIRTHA,MI,[16-18],P,,VIRT 1 EO,2,
,,TORRES-SALGUERO-MIRTHA,VI,[16-17],T,,VIRT 1 EO,1,
23,IF902AEO,TECNOLOGIAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,,3,EG,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,CHULLO-LLAVE-BORIS,MA,[07-09],L,,IN309,2,
,,UGARTE-ROJAS-HECTOR EDUARDO,MA,[07-09],L,,IN311,2,
,,CHULLO-LLAVE-BORIS,JU,[07-09],T,,EC-202,2,
24,IF902BEO,TECNOLOGIAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,,3,EG,15 Creds.,2,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,AGUIRRE-CARBAJAL-DORIS SABINA,LU,[18-20],L,,IN311,2,
,,VILLENA-LEON-OLMER CLAUDIO,LU,[18-20],L,,IN312,2,
,,AGUIRRE-CARBAJAL-DORIS SABINA,MI,[18-20],T,,EC-202,2,
25,EC020AEO,ACTIVIDADES DE CULTURA Y RECREACIÓN,,2,AEC,30 Creds.,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,ALATRISTA-GIRONZINI-MERIDA M.,MA,[11-13],T,,EC-303,2,
,,ALATRISTA-GIRONZINI-MERIDA M.,VI,[11-13],P,,EC-303,2,
26,EC020BEO,ACTIVIDADES DE CULTURA Y RECREACIÓN,,2,AEC,30 Creds.,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
